,0
TCGA-HC-7745-01A-11R-2118-07,0.0009044385
TCGA-HC-7747-01A-11R-2118-07,-0.037993442
TCGA-HC-7748-01A-11R-2118-07,-0.037166465
TCGA-HC-7749-01A-11R-2118-07,-0.052976105
TCGA-HC-7750-01A-11R-2118-07,-0.04240024
TCGA-HC-7752-01A-11R-2118-07,-0.0591539
TCGA-HC-7817-01B-11R-A29R-07,-0.015373503
TCGA-HC-7818-01A-11R-2118-07,-0.045018487
TCGA-HC-7819-01A-11R-2118-07,-0.079819016
TCGA-HC-7820-01A-11R-2118-07,-0.062066562
TCGA-HC-7821-01A-12R-2118-07,-0.04380078
TCGA-HC-8213-01A-11R-A29R-07,-0.107541256
TCGA-HC-8216-01A-11R-A29R-07,-0.040186867
TCGA-HC-8256-01A-11R-2263-07,-0.071793675
TCGA-HC-8257-01A-11R-2263-07,-0.0417579
TCGA-HC-8258-01A-11R-2263-07,-0.023856217
TCGA-HC-8259-01A-11R-2263-07,-0.0779719
TCGA-HC-8260-01A-11R-2263-07,-0.020440988
TCGA-HC-8261-01A-11R-2263-07,-0.04106508
TCGA-HC-8262-01A-11R-2263-07,-0.048629202
TCGA-HC-8264-01B-11R-2403-07,-0.05827484
TCGA-HC-8265-01A-11R-2263-07,-0.028599573
TCGA-HC-8266-01A-11R-2263-07,-0.0021107774
TCGA-HC-A48F-01A-11R-A250-07,-0.0755299
TCGA-HC-A4ZV-01A-11R-A26U-07,-0.029555026
TCGA-HC-A631-01A-11R-A29R-07,-0.08881974
TCGA-HC-A632-01A-11R-A29R-07,-0.05276452
TCGA-HC-A6AL-01A-11R-A30B-07,-0.048050955
TCGA-HC-A6AN-01A-11R-A30B-07,-0.057843875
TCGA-HC-A6AO-01A-11R-A30B-07,-0.08071263
TCGA-HC-A6AP-01A-11R-A30B-07,-0.014429714
TCGA-HC-A6AQ-01A-11R-A30B-07,-0.049095947
TCGA-HC-A6AS-01A-11R-A30B-07,-0.022044886
TCGA-HC-A6HX-01A-11R-A31N-07,-0.012947536
TCGA-HC-A6HY-01A-11R-A31N-07,-0.06833917
TCGA-HC-A76W-01A-11R-A33R-07,-0.0028110635
TCGA-HC-A76X-01A-11R-A33R-07,-0.08065689
TCGA-HC-A8CY-01A-11R-A36G-07,-0.066208184
TCGA-HC-A8D0-01A-11R-A36G-07,-0.0142606925
TCGA-HC-A8D1-01A-11R-A36G-07,-0.024406878
TCGA-HC-A9TE-01A-11R-A41O-07,0.0017200793
TCGA-HC-A9TH-01A-11R-A41O-07,-0.035240192
TCGA-HI-7168-01A-11R-2118-07,-0.012615152
TCGA-HI-7169-01A-11R-2118-07,-0.036753193
TCGA-HI-7170-01A-11R-2118-07,-0.01958187
TCGA-HI-7171-01A-12R-2118-07,-0.07034204
TCGA-J4-8198-01A-11R-2263-07,-0.040859014
TCGA-J4-8200-01A-11R-A29R-07,-0.050690837
TCGA-J4-A67K-01A-21R-A30B-07,-0.04311777
TCGA-J4-A67L-01A-11R-A30B-07,-0.04756834
TCGA-J4-A67M-01A-11R-A30B-07,-0.025028389
TCGA-J4-A67N-01A-11R-A30B-07,-0.05595037
TCGA-J4-A67O-01A-11R-A30B-07,-0.03863057
TCGA-J4-A67Q-01A-21R-A30B-07,-0.017188111
TCGA-J4-A67R-01A-21R-A30B-07,-0.013241101
TCGA-J4-A67S-01A-11R-A30B-07,-0.043352116
TCGA-J4-A67T-01A-11R-A311-07,-0.049212653
TCGA-J4-A6G1-01A-11R-A311-07,0.0017718653
TCGA-J4-A6G3-01A-11R-A311-07,-0.009688274
TCGA-J4-A6M7-01A-11R-A31N-07,-0.0742206
TCGA-J4-A83I-01A-11R-A36G-07,-0.04174898
TCGA-J4-A83J-01A-11R-A36G-07,-0.03596042
TCGA-J4-A83K-01A-11R-A352-07,-0.02946496
TCGA-J4-A83L-01A-11R-A352-07,-0.040171016
TCGA-J4-A83M-01A-11R-A352-07,-0.049271725
TCGA-J4-A83N-01A-11R-A352-07,-0.066797175
TCGA-J4-AATV-01A-11R-A41O-07,-0.0051148194
TCGA-J4-AATZ-01A-11R-A41O-07,-0.06494498
TCGA-J4-AAU2-01A-11R-A41O-07,-0.06169586
TCGA-J9-A52B-01A-11R-A26U-07,-0.038928274
TCGA-J9-A52C-01A-11R-A26U-07,-0.014097809
TCGA-J9-A52D-01A-11R-A29R-07,-0.14765283
TCGA-J9-A52E-01A-11R-A26U-07,-0.022475624
TCGA-J9-A8CK-01A-11R-A352-07,-0.018651165
TCGA-J9-A8CL-01A-11R-A352-07,-0.020986665
TCGA-J9-A8CM-01A-11R-A352-07,-0.029536165
TCGA-J9-A8CN-01A-11R-A352-07,-0.08258125
TCGA-J9-A8CP-01A-11R-A352-07,-0.045598064
TCGA-KC-A4BL-01A-31R-A250-07,-0.007087486
TCGA-KC-A4BN-01A-61R-A250-07,-0.07292808
TCGA-KC-A4BR-01A-32R-A32Y-07,-0.009095066
TCGA-KC-A4BV-01A-31R-A26U-07,-0.042804755
TCGA-KC-A7F3-01A-21R-A33R-07,-0.034908652
TCGA-KC-A7F5-01A-11R-A33R-07,-0.09250662
TCGA-KC-A7F6-01A-11R-A33R-07,-0.031799883
TCGA-KC-A7FA-01A-21R-A33R-07,-0.03728497
TCGA-KC-A7FD-01A-11R-A33R-07,-0.10564869
TCGA-KC-A7FE-01A-12R-A33R-07,-0.0115901
TCGA-KK-A59V-01A-11R-A29R-07,-0.038081236
TCGA-KK-A59X-01A-11R-A29R-07,-0.07582635
TCGA-KK-A59Y-01A-11R-A26U-07,-0.071874365
TCGA-KK-A59Z-01A-12R-A26U-07,-0.0229296
TCGA-KK-A5A1-01A-11R-A29R-07,-0.05875126
TCGA-KK-A6DY-01A-12R-A311-07,-0.027801132
TCGA-KK-A6E0-01A-11R-A311-07,-0.066371314
TCGA-KK-A6E1-01A-11R-A311-07,-0.08505605
TCGA-KK-A6E2-01A-11R-A311-07,-0.096517794
TCGA-KK-A6E3-01A-21R-A30B-07,-0.030487726
TCGA-KK-A6E4-01A-11R-A30B-07,-0.07225621
TCGA-KK-A6E5-01A-11R-A311-07,-0.0540847
TCGA-KK-A6E6-01A-11R-A311-07,-0.042230766
TCGA-KK-A6E7-01A-11R-A31N-07,-0.063569024
TCGA-KK-A6E8-01A-11R-A31N-07,-0.107143246
TCGA-KK-A7AP-01A-12R-A33R-07,-0.0803159
TCGA-KK-A7AQ-01A-11R-A33R-07,-0.02782721
TCGA-KK-A7AU-01A-11R-A32O-07,-0.09979567
TCGA-KK-A7AV-01A-11R-A32O-07,-0.008982272
TCGA-KK-A7AW-01A-11R-A32O-07,-0.07972585
TCGA-KK-A7AY-01A-11R-A33R-07,-0.07322238
TCGA-KK-A7AZ-01A-12R-A32O-07,-0.06824951
TCGA-KK-A7B0-01A-11R-A32O-07,-0.021172017
TCGA-KK-A7B1-01A-11R-A32O-07,-0.025858752
TCGA-KK-A7B2-01A-12R-A32O-07,-0.0045370935
TCGA-KK-A7B3-01A-11R-A33R-07,-0.009822272
TCGA-KK-A7B4-01A-11R-A32O-07,-0.052478004
TCGA-KK-A8I4-01A-11R-A36G-07,0.0032685013
TCGA-KK-A8I5-01A-11R-A36G-07,-0.055096675
TCGA-KK-A8I6-01A-11R-A36G-07,-0.04094956
TCGA-KK-A8I7-01A-21R-A36G-07,-0.019128967
TCGA-KK-A8I8-01A-11R-A36G-07,-0.06546874
TCGA-KK-A8I9-01A-11R-A36G-07,-0.014048706
TCGA-KK-A8IA-01A-11R-A36G-07,-0.06860502
TCGA-KK-A8IB-01A-11R-A36G-07,-0.034255963
TCGA-KK-A8IC-01A-11R-A36G-07,-0.029165676
TCGA-KK-A8ID-01A-11R-A36G-07,-0.09476465
TCGA-KK-A8IF-01A-11R-A36G-07,-0.09293326
TCGA-KK-A8IG-01A-11R-A36G-07,-0.02692491
TCGA-KK-A8IH-01A-11R-A36G-07,-0.0150876
TCGA-KK-A8II-01A-11R-A36G-07,-0.10136536
TCGA-KK-A8IJ-01A-11R-A352-07,-0.07612818
TCGA-KK-A8IK-01A-11R-A36G-07,-0.10098032
TCGA-KK-A8IL-01A-11R-A36G-07,-0.033904206
TCGA-KK-A8IM-01A-11R-A36G-07,-0.022987789
TCGA-M7-A71Y-01A-22R-A32O-07,-0.028376121
TCGA-M7-A71Z-01A-12R-A32O-07,-0.117372185
TCGA-M7-A720-01A-12R-A32O-07,-0.022781452
TCGA-M7-A721-01A-12R-A32O-07,-0.031602874
TCGA-M7-A722-01A-12R-A36G-07,-0.10550125
TCGA-M7-A723-01A-12R-A32O-07,-0.022949677
TCGA-M7-A724-01A-12R-A32O-07,-0.14719166
TCGA-M7-A725-01A-12R-A32O-07,-0.08774937
TCGA-MG-AAMC-01A-11R-A41O-07,-0.09139073
TCGA-QU-A6IL-01A-11R-A31N-07,-0.07291683
TCGA-QU-A6IM-01A-11R-A31N-07,-0.047612887
TCGA-QU-A6IN-01A-11R-A31N-07,-0.08015905
TCGA-QU-A6IO-01A-11R-A31N-07,-0.055637658
TCGA-QU-A6IP-01A-11R-A31N-07,-0.04231731
TCGA-SU-A7E7-01A-22R-A33R-07,-0.026570013
TCGA-TK-A8OK-01A-22R-A36G-07,-0.008534999
TCGA-TP-A8TT-01A-12R-A41O-07,-0.030804487
TCGA-TP-A8TV-01A-11R-A41O-07,-0.09212103
TCGA-V1-A8MF-01A-11R-A36G-07,-0.027567646
TCGA-V1-A8MG-01A-11R-A36G-07,-0.011757509
TCGA-V1-A8MJ-01A-11R-A36G-07,-0.027453838
TCGA-V1-A8MK-01A-11R-A36G-07,-0.029845623
TCGA-V1-A8ML-01A-11R-A37L-07,-0.05581424
TCGA-V1-A8MM-01A-11R-A37L-07,-0.03287334
TCGA-V1-A8MU-01A-11R-A37L-07,0.0012636908
TCGA-V1-A8WL-01A-11R-A37L-07,-0.022498725
TCGA-V1-A8WN-01A-11R-A37L-07,-0.03416717
TCGA-V1-A8WS-01A-11R-A37L-07,-0.07663217
TCGA-V1-A8WV-01A-11R-A37L-07,-0.004234909
TCGA-V1-A8WW-01A-11R-A37L-07,-0.046505284
TCGA-V1-A8X3-01A-11R-A37L-07,-0.048567638
TCGA-V1-A9O5-06A-11R-A41O-07,-0.060493533
TCGA-V1-A9O5-01A-11R-A41O-07,-0.03230138
TCGA-V1-A9O7-01A-21R-A41O-07,0.0031355543
TCGA-V1-A9O9-01A-11R-A41O-07,-0.007923216
TCGA-V1-A9OA-01A-11R-A41O-07,-0.00086764706
TCGA-V1-A9OF-01A-11R-A41O-07,-0.056843694
TCGA-V1-A9OH-01A-11R-A41O-07,-0.050818384
TCGA-V1-A9OL-01A-11R-A41O-07,-0.042379692
TCGA-V1-A9OQ-01A-11R-A41O-07,-0.056829404
TCGA-V1-A9OT-01A-11R-A41O-07,-0.02545858
TCGA-V1-A9OX-01A-11R-A41O-07,-0.013539819
TCGA-V1-A9OY-01A-11R-A41O-07,-0.018615276
TCGA-V1-A9Z7-01A-11R-A41O-07,-0.024851939
TCGA-V1-A9Z8-01A-11R-A41O-07,-0.025138171
TCGA-V1-A9Z9-01A-21R-A41O-07,-0.03635972
TCGA-V1-A9ZG-01A-11R-A41O-07,-0.039488986
TCGA-V1-A9ZI-01A-11R-A41O-07,-0.034442708
TCGA-V1-A9ZK-01A-11R-A41O-07,-0.03986385
TCGA-V1-A9ZR-01A-11R-A41O-07,-0.0010650861
TCGA-VN-A88I-01A-11R-A352-07,0.014455159
TCGA-VN-A88K-01A-11R-A352-07,-0.058284014
TCGA-VN-A88L-01A-11R-A352-07,-0.024575131
TCGA-VN-A88M-01A-11R-A352-07,-0.064162694
TCGA-VN-A88N-01A-11R-A36G-07,-0.07578126
TCGA-VN-A88O-01A-11R-A352-07,-0.05097919
TCGA-VN-A88P-01A-11R-A352-07,-0.05265458
TCGA-VN-A88Q-01A-11R-A352-07,-0.0674373
TCGA-VN-A88R-01A-11R-A36G-07,-0.06803053
TCGA-VN-A943-01A-11R-A41O-07,-0.15059066
TCGA-VP-A872-01A-11R-A352-07,-0.004173838
TCGA-VP-A875-01A-31R-A352-07,-0.10048889
TCGA-VP-A876-01A-11R-A352-07,-0.07587395
TCGA-VP-A878-01A-31R-A352-07,-0.017607708
TCGA-VP-A879-01A-11R-A352-07,-0.027713161
TCGA-VP-A87B-01A-11R-A352-07,-0.056571074
TCGA-VP-A87C-01A-11R-A352-07,0.000413328
TCGA-VP-A87D-01A-11R-A352-07,-0.060290948
TCGA-VP-A87E-01A-31R-A352-07,-0.015245478
TCGA-VP-A87H-01A-11R-A352-07,-0.039765295
TCGA-VP-A87J-01A-11R-A352-07,-0.08771133
TCGA-VP-A87K-01A-11R-A352-07,-0.07131139
TCGA-VP-AA1N-01A-31R-A41O-07,-0.03533127
TCGA-WW-A8ZI-01A-11R-A37L-07,-0.06603439
TCGA-X4-A8KQ-01A-12R-A36G-07,-0.026168223
TCGA-X4-A8KS-01A-12R-A36G-07,-0.008667205
TCGA-XA-A8JR-01A-11R-A36G-07,-0.036634464
TCGA-XJ-A83F-01A-11R-A352-07,-0.060758024
TCGA-XJ-A83G-01A-11R-A352-07,-0.06839444
TCGA-XJ-A83H-01A-11R-A352-07,-0.05395008
TCGA-XJ-A9DI-01A-11R-A37L-07,0.0022274149
TCGA-XJ-A9DK-01A-11R-A37L-07,-0.0052762995
TCGA-XJ-A9DQ-01A-11R-A37L-07,-0.01876775
TCGA-XJ-A9DX-01A-11R-A37L-07,-0.061543807
TCGA-XK-AAIR-01A-11R-A41O-07,-0.022115156
TCGA-XK-AAIV-01A-11R-A41O-07,-0.022266518
TCGA-XK-AAIW-01A-11R-A41O-07,-0.11680089
TCGA-XK-AAJ3-01A-11R-A41O-07,-0.05370973
TCGA-XK-AAJA-01A-11R-A41O-07,-0.043232698
TCGA-XK-AAJP-01A-11R-A41O-07,-0.07365679
TCGA-XK-AAJR-01A-11R-A41O-07,-0.049178213
TCGA-XK-AAJT-01A-11R-A41O-07,-0.01269266
TCGA-XK-AAJU-01A-11R-A41O-07,-0.01682527
TCGA-XK-AAK1-01A-11R-A41O-07,-0.09260647
TCGA-XQ-A8TA-01A-11R-A36G-07,-0.086549126
TCGA-XQ-A8TB-01A-11R-A36G-07,-0.036712885
TCGA-Y6-A8TL-01A-21R-A37L-07,-0.040901233
TCGA-Y6-A9XI-01A-11R-A41O-07,-0.06846393
TCGA-YJ-A8SW-01A-11R-A37L-07,-0.07795471
TCGA-YL-A8HJ-01A-11R-A36G-07,0.00012341033
TCGA-YL-A8HK-01A-11R-A36G-07,-0.008057103
TCGA-YL-A8HL-01A-11R-A36G-07,-0.08543746
TCGA-YL-A8HM-01A-11R-A36G-07,-0.07584195
TCGA-YL-A8HO-01A-11R-A36G-07,0.003969533
TCGA-YL-A8S8-01A-11R-A37L-07,-0.035016406
TCGA-YL-A8S9-01A-11R-A37L-07,-0.13690378
TCGA-YL-A8SA-01A-21R-A37L-07,-0.08871209
